Name BodyTemperature GivesBirth Fourlegged Hibernates ClassLabel
human warm-blooded yes no no mammal
pigeon warm-blooded no no no non-mammal
elephant warm-blooded yes yes no mammal
leopard-shark cold-blooded yes no no non-mammal
turtle cold-blooded no yes no non-mammal
penguin cold-blooded no no no non-mammal
eel cold-blooded no no no non-mammal
dolphin warm-blooded yes no no mammal
spiny-anteater warm-blooded no yes yes mammal
gila-monster cold-blooded no yes yes non-mammal
porcupine warm-blooded yes yes yes ?
cat warm-blooded yes yes no ?
bat warm-blooded yes no yes ?
whale warm-blooded yes no no ?
salamander cold-blooded no yes yes ?
komodo-dragon cold-blooded no yes no ?
python cold-blooded no no yes ?
salmon cold-blooded no no no ?
eagle warm-blooded no no no ?
guppy cold-blooded yes no no ?
